name,numel,max_abs,min_abs_nonzero,dynamic_range,frac_bits,q_format,step,rel_err_max,rel_err_mean,group,dataset
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_1.in,0,15.72475814819336,12.258440017700195,1.2827699222321993,11.0,Q4.11,0.00048828125,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_1.out,0,3.478208541870117,2.338780641555786,1.4871888710162957,13.0,Q2.13,0.0001220703125,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_2.centered,0,4.077807426452637,3.093076705932617,1.3183660846920722,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_2.hat,0,10.49438190460205,8.87658405303955,1.182254552189874,11.0,Q4.11,0.00048828125,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_2.in,0,4.103381156921387,3.0772621631622314,1.333451925559928,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_2.out,0,4.880420207977295,4.157519817352295,1.1738777979139923,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_att.centered,0,16.78912353515625,13.047525405883789,1.2867668782300423,10.0,Q5.10,0.0009765625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_att.hat,0,5.328122138977051,4.387014389038086,1.2145212361943758,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_att.in,0,16.872629165649414,13.041199684143066,1.293794250092269,10.0,Q5.10,0.0009765625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_att.out,0,2.077685594558716,1.5635179281234741,1.3288530672957124,13.0,Q2.13,0.0001220703125,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_x.centered,0,15.785958290100098,12.21614933013916,1.2922204750030075,11.0,Q4.11,0.00048828125,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_x.hat,0,5.531254768371582,4.662027359008789,1.1864483715830452,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_x.in,0,15.72475814819336,12.258440017700195,1.2827699222321993,11.0,Q4.11,0.00048828125,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_x.out,0,1.8574339151382446,1.4971485137939453,1.24064773669734,14.0,Q1.14,6.103515625e-05,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.0.softmax.in,0,22.57870864868164,17.94906234741211,1.2579324875952103,10.0,Q5.10,0.0009765625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.0.softmax.out,0,0.9999960660934448,0.9316849708557129,1.0733199497411567,14.0,Q1.14,6.103515625e-05,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.1.gelu1.in,0,5.0220818519592285,4.044644355773926,1.2416621611712197,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.1.gelu1.out,0,3.9547677040100098,2.9746315479278564,1.3294983396397182,13.0,Q2.13,0.0001220703125,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.1.gelu2.in,0,6.265004634857178,5.014383792877197,1.2494066855744976,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
